# Time(ns),personID,headCentroidX,headCentroidY,headCentroidZ,BoundingBoxTopCenterX,BoundingBoxTopCenterY,BoundingBoxTopCenterZ,Xvelocity,Yvelocity,Zvelocity,Xsigma,Ysigma,Zsigma,ROIwidth,ROIheight
aaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,0,-2.60967,1.04387,-0.504188,-2.60967,1.04387,-0.377188,0,0,0,0,0,0,0.0914286,0.180952
