# Time(ns),personID,headCentroidX,headCentroidY,headCentroidZ,BoundingBoxTopCenterX,BoundingBoxTopCenterY,BoundingBoxTopCenterZ,Xvelocity,Yvelocity,Zvelocity,Xsigma,Ysigma,Zsigma,ROIwidth,ROIheight
1589877276654113538,0,-0.134779,1.61735,-0.318494,-0.134779,1.61735,-0.191494,0,0,0,0,0,0,0.368571,0.722857
1589877276754178110,0,-0.0900712,1.61889,-0.318517,-0.0900712,1.61889,-0.191517,0,0,0,0,0,0,0.368571,0.722857
1589877276786139563,0,-0.116973,1.66917,-0.317775,-0.116973,1.66917,-0.190775,-0.788486,1.57189,0,0,0,0,0.368571,0.722857
1589877276854233909,0,-0.0275164,1.66454,-0.317893,-0.0275164,1.66454,-0.190893,0.579294,0.45337,0,0,0,0,0.368571,0.722857
1589877277022579820,0,-0.000494141,1.69143,-0.317526,-0.000494141,1.69143,-0.190526,0.3095,0.268894,0,0,0,0,0.368571,0.722857
1589877277055246609,0,-0.0445313,1.70236,-0.317371,-0.0445313,1.70236,-0.190371,0.139781,0.276052,0,0,0,0,0.368571,0.722857
1589877277186167004,0,-0.061192,1.76543,-0.316552,-0.061192,1.76543,-0.189552,0.0611814,0.338111,0,0,0,0,0.368571,0.722857
1589877277287519314,0,-0.0578121,1.79348,-0.316211,-0.0578121,1.79348,-0.189211,0.109152,0.246912,0,0,0,0,0.368571,0.722857
1589877277454254662,0,-0.0477737,1.91445,-0.314853,-0.0477737,1.91445,-0.187853,-0.032085,0.415642,0,0,0,0,0.368571,0.722857
1589877277487065795,0,-0.042141,1.89696,-0.315041,-0.042141,1.89696,-0.188041,-0.0220338,0.366486,0,0,0,0,0.368571,0.722857
1589877277722227871,0,-0.0642308,1.97947,-0.314187,-0.0642308,1.97947,-0.187187,-0.00613142,0.398524,0,0,0,0,0.368571,0.722857
1589877277822228834,0,-0.0319052,1.98255,-0.314165,-0.0319052,1.98255,-0.187165,0.0448963,0.352883,0,0,0,0,0.368571,0.722857
1589877277986387982,0,-0.0396691,1.99116,-0.314079,-0.0396691,1.99116,-0.187079,0.0141163,0.143902,0,0,0,0,0.368571,0.722857
1589877278023090813,0,-0.0594228,1.97605,-0.314222,-0.0594228,1.97605,-0.187222,-0.0304999,0.147342,0,0,0,0,0.368571,0.722857
1589877278190115939,0,-0.0407129,1.95843,-0.314403,-0.0407129,1.95843,-0.187403,0.00179442,0.0872863,0,0,0,0,0.368571,0.722857
1589877278354353843,0,-0.0122129,2.01472,-0.313856,-0.0122129,2.01472,-0.186856,0.0347736,0.0603324,0,0,0,0,0.368571,0.722857
1589877278522259855,0,-0.0747488,1.9527,-0.31445,-0.0747488,1.9527,-0.18745,-0.0614118,-0.0715565,0,0,0,0,0.368571,0.722857
1589877278554436191,0,-0.107907,1.94748,-0.314487,-0.107907,1.94748,-0.187487,-0.0856163,-0.0534354,0,0,0,0,0.368571,0.722857
1589877278757816889,0,-0.0884298,1.86947,-0.315322,-0.0884298,1.86947,-0.188322,-0.078542,-0.15625,0,0,0,0,0.368571,0.722857
1589877278891724153,0,-0.10731,1.81678,-0.315908,-0.10731,1.81678,-0.188908,-0.165332,-0.367344,0,0,0,0,0.368571,0.722857
1589877279091522370,0,-0.0779343,1.84252,-0.315629,-0.0779343,1.84252,-0.188629,0.0529088,-0.195217,0,0,0,0,0.368571,0.722857
1589877279222370198,0,-0.187249,1.80068,-0.316021,-0.187249,1.80068,-0.189021,-0.110295,-0.218718,0,0,0,0,0.368571,0.722857
1589877279391373947,0,-0.0819752,1.80258,-0.316091,-0.0819752,1.80258,-0.189091,0.00983848,-0.105385,0,0,0,0,0.368571,0.722857
1589877279422176718,0,-0.100546,1.75841,-0.316617,-0.100546,1.75841,-0.189617,0.0123203,-0.109827,0,0,0,0,0.368571,0.722857
1589877279554343988,0,-0.157238,1.73083,-0.316912,-0.157238,1.73083,-0.189912,-0.0697518,-0.129014,0,0,0,0,0.368571,0.722857
1589877279722402799,0,-0.182843,1.69977,-0.317283,-0.182843,1.69977,-0.190283,0.00959551,-0.201273,0,0,0,0,0.368571,0.722857
1589877279754191317,0,-0.152742,1.69025,-0.317449,-0.152742,1.69025,-0.190449,0.0618555,-0.207466,0,0,0,0,0.368571,0.722857
1589877279954311399,0,-0.252959,1.6418,-0.317944,-0.252959,1.6418,-0.190944,-0.265362,-0.216452,0,0,0,0,0.368571,0.722857
1589877280091154097,0,-0.334239,1.64084,-0.317757,-0.334239,1.64084,-0.190757,-0.305787,-0.163827,0,0,0,0,0.368571,0.722857
1589877280256456693,0,-0.272547,1.66477,-0.317587,-0.272547,1.66477,-0.190587,-0.221733,-0.048546,0,0,0,0,0.368571,0.722857
1589877280291167533,0,-0.303871,1.67478,-0.317382,-0.303871,1.67478,-0.190382,-0.261995,-0.0261892,0,0,0,0,0.368571,0.722857
1589877280622221430,0,-0.403151,1.57744,-0.318418,-0.403151,1.57744,-0.191418,-0.11916,-0.116704,0,0,0,0,0.368571,0.722857
1589877280691446569,0,-0.316486,1.56331,-0.318913,-0.316486,1.56331,-0.191913,0.029269,-0.128845,0,0,0,0,0.368571,0.722857
1589877280755076050,0,-0.373357,1.6006,-0.318194,-0.373357,1.6006,-0.191194,-0.0540535,-0.0594247,0,0,0,0,0.368571,0.722857
1589877280954999585,0,-0.374755,1.59118,-0.318322,-0.374755,1.59118,-0.191322,-0.097828,-0.123793,0,0,0,0,0.368571,0.722857
1589877281022262633,0,-0.345677,1.52195,-0.319448,-0.345677,1.52195,-0.192448,-0.0503732,-0.207089,0,0,0,0,0.368571,0.722857
1589877281191724461,0,-0.366085,1.52329,-0.319354,-0.366085,1.52329,-0.192354,-0.0908938,-0.0779815,0,0,0,0,0.368571,0.722857
1589877281291094041,0,-0.371035,1.53499,-0.319157,-0.371035,1.53499,-0.192157,0.00596087,-0.121655,0,0,0,0,0.368571,0.722857
1589877281455310496,0,-0.357712,1.54452,-0.319061,-0.357712,1.54452,-0.192061,0.0331462,-0.0931747,0,0,0,0,0.368571,0.722857
1589877281554301264,0,-0.353335,1.51095,-0.319593,-0.353335,1.51095,-0.192593,-0.0130325,-0.0202977,0,0,0,0,0.368571,0.722857
1589877281725828197,0,-0.346417,1.51425,-0.319566,-0.346417,1.51425,-0.192566,0.0344586,-0.017403,0,0,0,0,0.368571,0.722857
1589877281790386851,0,-0.360591,1.49192,-0.319868,-0.360591,1.49192,-0.192868,0.00938312,-0.0521764,0,0,0,0,0.368571,0.722857
1589877281955535262,0,-0.351779,1.49342,-0.319877,-0.351779,1.49342,-0.192877,0.0126433,-0.101637,0,0,0,0,0.368571,0.722857
1589877282022329805,0,-0.346148,1.53688,-0.319217,-0.346148,1.53688,-0.192217,0.0191571,-0.0137038,0,0,0,0,0.368571,0.722857
1589877282223625066,0,-0.362743,1.50842,-0.319598,-0.362743,1.50842,-0.192598,-0.0129836,-0.00353127,0,0,0,0,0.368571,0.722857
1589877282291994117,0,-0.455451,1.49395,-0.319431,-0.455451,1.49395,-0.192431,-0.175784,0.00750704,0,0,0,0,0.368571,0.722857
1589877282454367740,0,-0.444691,1.49521,-0.319461,-0.444691,1.49521,-0.192461,-0.117753,0.0072332,0,0,0,0,0.368571,0.722857
1589877282554402583,0,-0.416129,1.51373,-0.319303,-0.416129,1.51373,-0.192303,-0.12151,-0.0409739,0,0,0,0,0.368571,0.722857
1589877282722512220,0,-0.437696,1.54659,-0.318727,-0.437696,1.54659,-0.191727,-0.121878,0.0159796,0,0,0,0,0.368571,0.722857
1589877282795220164,0,-0.438195,1.49327,-0.31952,-0.438195,1.49327,-0.19252,0.0319337,-0.00202636,0,0,0,0,0.368571,0.722857
1589877282925070250,0,-0.446157,1.54723,-0.318682,-0.446157,1.54723,-0.191682,0.0120455,0.0831373,0,0,0,0,0.368571,0.722857
1589877283025134160,0,-0.467099,1.50416,-0.319222,-0.467099,1.50416,-0.192222,-0.0368664,0.0163068,0,0,0,0,0.368571,0.722857
1589877283192790108,0,-0.412802,1.53594,-0.318983,-0.412802,1.53594,-0.191983,0.00422152,0.0344278,0,0,0,0,0.368571,0.722857
1589877283290447080,0,-0.438098,1.51847,-0.319138,-0.438098,1.51847,-0.192138,0.000267517,-0.0490844,0,0,0,0,0.368571,0.722857
1589877283454376577,0,-0.471023,1.53776,-0.318712,-0.471023,1.53776,-0.191712,-0.0434669,-0.0168441,0,0,0,0,0.368571,0.722857
1589877283522357820,0,-0.440348,1.55003,-0.318666,-0.440348,1.55003,-0.191666,0.00897945,0.00445532,0,0,0,0,0.368571,0.722857
1589877283724108723,0,-0.4597,1.5413,-0.318711,-0.4597,1.5413,-0.191711,-0.0824229,0.0116291,0,0,0,0,0.368571,0.722857
1589877283794592900,0,-0.470491,1.51879,-0.31899,-0.470491,1.51879,-0.19199,-0.0598729,0.00187629,0,0,0,0,0.368571,0.722857
1589877283922240372,0,-0.360189,1.50745,-0.319622,-0.360189,1.50745,-0.192622,0.114935,-0.019495,0,0,0,0,0.368571,0.722857
1589877284022392066,0,-0.436969,1.506,-0.319331,-0.436969,1.506,-0.192331,0.00795018,-0.0874264,0,0,0,0,0.368571,0.722857
1589877284222218720,0,-0.456401,1.51694,-0.319081,-0.456401,1.51694,-0.192081,-0.0204768,-0.0464283,0,0,0,0,0.368571,0.722857
1589877284290274668,0,-0.461854,1.51143,-0.319138,-0.461854,1.51143,-0.192138,-0.00251272,-0.0522173,0,0,0,0,0.368571,0.722857
1589877284390778132,0,-0.422328,1.54366,-0.318831,-0.422328,1.54366,-0.191831,0.0744804,0.0398239,0,0,0,0,0.368571,0.722857
1589877284455926381,0,-0.45666,1.5437,-0.318689,-0.45666,1.5437,-0.191689,-0.169371,0.0706065,0,0,0,0,0.368571,0.722857
